"sample_id","Shannon","Simpson","subject_id","visit_number","sample_body_site","study_full_name","project_name"
"ep311478_k60_mv1d",0.246643373031938,0.08995106507322,"e50d0c183689e4053ccb35f8b29e8785",6,"vagina","momspi","Integrative Human Microbiome Project"
"ep311701_k10_mv1d",2.79051797811723,0.916015625,"88af6472fb03642dd5eaf8cddcbf7f68",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep311701_k20_mv1d",1.44291290604781,0.660933043945016,"88af6472fb03642dd5eaf8cddcbf7f68",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep311701_k30_mv1d",1.52337163267689,0.727714492524589,"88af6472fb03642dd5eaf8cddcbf7f68",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep311701_k40_mv1d",1.34453780840708,0.658990972859803,"88af6472fb03642dd5eaf8cddcbf7f68",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep311701_k50_mv1d",1.39016694792704,0.604258334778878,"88af6472fb03642dd5eaf8cddcbf7f68",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep311701_k70_mv1d",2.07997404592583,0.795711271707715,"88af6472fb03642dd5eaf8cddcbf7f68",7,"vagina","momspi","Integrative Human Microbiome Project"
"ep312022_k10_mv1d",0.0652579315569393,0.0153177284740856,"e50d0c183689e4053ccb35f8b29e9007",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep312022_k20_mv1d",1.60557461984279,0.676733674537542,"e50d0c183689e4053ccb35f8b29e9007",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep312022_k30_mv1d",0.847621237507811,0.391708302954531,"e50d0c183689e4053ccb35f8b29e9007",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep312022_k60_mv1d",1.29167928455054,0.655375180987499,"e50d0c183689e4053ccb35f8b29e9007",6,"vagina","momspi","Integrative Human Microbiome Project"
"ep312275_k10_mv1d",1.87244608147393,0.765245015461336,"e50d0c183689e4053ccb35f8b29e9fe9",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep312275_k30_mv1d",2.99287572989549,0.891649043554624,"e50d0c183689e4053ccb35f8b29e9fe9",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep312275_k40_mv1d",3.24056789506895,0.93190176797604,"e50d0c183689e4053ccb35f8b29e9fe9",4,"vagina","momspi","Integrative Human Microbiome Project"
